county,year,Anteil_Bruttowertschöpfung_Primärer_Sektor_inkar,Anteil_Bruttowertschöpfung_Sekundärer_Sektor_inkar,Anteil_Bruttowertschöpfung_Tertiärer_Sektor_inkar,Ausgaben_für_Sachinvestitionen_inkar,Auslandsumsatz_im_Bergbau_u._Verarb._Gewerbe_inkar,Ausländeranteil_inkar,Beschäftigte_Pimärer_Sektor_inkar,Beschäftigte_Sekundärer_Sektor_inkar,Beschäftigte_Tertiärer_Sektor_inkar,Beschäftigte_am_AO_mit_Berufsabschluss_inkar,Beschäftigte_am_AO_mit_akademischem_Berufsabschluss_inkar,Beschäftigte_am_AO_ohne_Berufsabschluss_inkar,Beschäftigte_am_WO_mit_Berufsabschluss_inkar,Beschäftigte_am_WO_mit_akademischen_Abschluss_inkar,Beschäftigte_am_WO_ohne_Berufsabschluss_inkar,Beschäftigte_im_Handwerk_inkar,Beschäftigte_in_IT-_und_naturwissenschaftlichen_Dienstleistungsberufen_inkar,Beschäftigte_in_Kreativbranchen_inkar,Beschäftigte_in_unternehmensbezogenen_Dienstleistungen_inkar,Beschäftigte_in_wissensintensiven_Industrien_inkar,Beschäftigte_mit_Anforderungsniveau_Experte_inkar,Beschäftigte_mit_Anforderungsniveau_Fachkraft_inkar,Beschäftigte_mit_Anforderungsniveau_Helfer_inkar,Beschäftigte_mit_Anforderungsniveau_Spezialist_inkar,Bruttoinlandsprodukt_in_1000_Euro_inkar,Bruttoinlandsprodukt_je_Einwohner_inkar,Bruttoinlandsprodukt_je_Erwerbstätigen_inkar,Bruttoverdienst_inkar,Bruttoverdienst_im_Produzierenden_Gewerbe_inkar,Bruttowertschöpfung_je_Erwerbstätigen_inkar,Bruttowertschöpfung_je_Erwerbstätigen_Primärer_Sektor_inkar,Bruttowertschöpfung_je_Erwerbstätigen_Sekundärer_Sektor_inkar,Bruttowertschöpfung_je_Erwerbstätigen_Tertiärer_Sektor_inkar,Gewerbesteuer_inkar,Industriequote_inkar,Investitionen_im_Bergbau_und_Verarb._Gewerbe_inkar,Medianeinkommen_inkar,Mietpreise_inkar,Offene_Stellen_mit_Anforderungsniveau_Experte_inkar,Offene_Stellen_mit_Anforderungsniveau_Fachkraft_inkar,Offene_Stellen_mit_Anforderungsniveau_Helfer_inkar,Offene_Stellen_mit_Anforderungsniveau_Spezialist_inkar,Pendlersaldo_inkar,Personal_der_Kommunen_inkar,Schulabgänger_mit_Hauptschulabschluss_inkar,Schulabgänger_mit_allgemeiner_Hochschulreife_inkar,Schulabgänger_mit_mittlerem_Abschluss_inkar,Schulabgänger_ohne_Abschluss_inkar,Schuldnerquote_inkar,Schutzsuchende_an_Bevölkerung_inkar,Schutzsuchende_an_ausländischer_Bevölkerung_inkar,Schüler_inkar,Steuerkraft_inkar,Studierende_je_100_Einwohner_18_bis_25_Jahre_inkar,Umsatz_Bauhauptgewerbe_inkar,Umsatz_im_Bergbau_u._Verarb._Gewerbe_inkar,Umsatz_im_Handwerk_inkar,Umsatzsteuer_inkar,Unternehmensinsolvenzen_inkar
1002,1997,,,,,,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.5,,,,,,,,,27.93,,30.36,31.39,,9.68,,,,10.66,497.63,132.57,76.39,,,,
1002,1998,,,,,,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.88,,,,,,,,,28.62,,29.33,28.39,,12.18,,,,10.62,587.98,129.07,98.07,,,36.19,
1002,1999,,,,,,9.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.98,,,,,,,,,27.65,,28.04,29.87,,10.34,,,,10.91,529.03,126.5,98.92,,,38.59,
1002,2000,0.02,17.84,82.15,,,9.42,,,,,,,,,,,,,,,,,,,7957088,34.21,51.34,2118.48,2631.03,46.29,12.15,53.05,45.07,382.65,,,,,,,,,27.46,,27.57,30.87,,11.28,,,,10.95,526.5,119.77,99.79,,,45.44,
1002,2001,0.02,19.46,80.52,,,9.73,,,,,,,,,,,,,,,,,,,8168726,35.17,52.84,2175.11,2730.27,47.73,13.78,60.6,45.42,409.97,,,,,,,,,27.56,,28.47,32.79,,11.77,,,,10.83,524,118.58,95.47,,,44.57,
1002,2002,0.02,15.62,84.36,,,9.62,,,,,,,,,,,,,,,,,,,7836162,33.59,51.23,2240.54,2866.97,46.31,15.22,48.7,45.91,353.39,,,,,,,,,28.36,,26.5,31.75,,10.63,,,,10.93,490.04,116.17,91.66,,,44,
1002,2003,0.02,18.51,81.48,,,9.55,,,,,,,,,,,,,,,,,,,8183241,35.12,54.19,2283.94,3105.43,48.92,15.08,62.64,46.62,389.43,,,,,,,,,29.29,,27.37,30.95,,9.96,,,,11.01,453.69,117.8,103.28,,,43.95,
1002,2004,0.02,16,83.98,,,9.29,,,,,,,,,,,,,,,,,,,8177092,35.05,53.93,2278.48,3027.34,48.86,16.79,55.75,47.75,271.3,,,,,,,,,30,,28.75,28.75,,10.62,12.42,,,11.03,421.51,116.87,86.13,,,44.05,
1002,2005,0.02,15.48,84.5,,,9.35,,,,,,,,,,,,,,,,,,,8280962,35.32,54.6,2251.47,2980.88,49.39,19.76,57.58,48.15,595.82,,,,,,,,,30.98,,28.59,30.97,,10.12,13.3,,,11.02,551.43,115.29,90.94,,,44.41,
1002,2006,0.03,16.56,83.42,,,9.23,,,,,,,,,,,,,,,,,,,8658342,36.79,56.04,2208.39,3004.25,50.68,23.33,67.03,48.36,783.32,,,,,,,,,30.7,180.09,28.9,30.01,,11.73,13.84,,,10.88,657.1,113.92,80.07,,,46.75,
1002,2007,0.03,14.66,85.31,,,9.21,,,,,,,,,,,,,,,,,,,8652495,36.52,55.31,2228.6,3114.14,49.74,23.39,59.28,48.42,447.79,,,,,,,,,30.47,154.33,27.89,31.44,,10.84,13.96,0.79,8.62,10.69,551.06,111.64,88.06,,,51.62,6.52
1002,2008,0.03,17.07,82.9,,,8.9,0.06,15.92,84.02,,,,,,,,,4.33,,,,,,,9156766,38.54,57.78,2262.52,3170.31,51.95,27.28,72.55,49.09,621.17,10.04,,,,9.23,65.27,11.84,11.4,30.26,154.18,21.68,36.66,,8.88,13.15,0.8,8.94,10.57,661.56,110,76.42,,,53.41,10.3
1002,2009,0.02,16.54,83.44,,221.89,8.74,0.06,16.12,83.82,,,,,,,,,4.35,11.77,7.7,,,,,9227161,38.72,57.87,2292.62,3161.94,51.89,20.96,70.42,49.34,431.39,10.11,6.96,,,12.28,63.78,11.97,10.22,29.37,155.19,22.76,36.13,,7.11,11.81,0.83,9.46,10.35,574.9,113.16,70.29,290.96,,53.89,10.87
1002,2010,0.02,15.26,84.72,,208.46,8.71,0.05,16.81,83.14,,,,,,,8.56,,4.22,11.42,8.37,,,,,9135198,38.14,57.44,2341.45,3263.38,51.65,19.16,64.71,49.85,423.27,10.49,4.06,,4,8.41,66.77,13.4,8.25,28.79,159.23,23.32,38.88,,7.31,12.29,0.82,9.42,10.09,560.92,115.95,104.99,313.88,67.87,55.19,9.74
1002,2011,0.02,16.12,83.85,,141.68,7.23,0.05,16.7,83.23,,,,,,,7.16,,4.2,11.14,8.3,,,,,9547658,40.17,59.51,2404.71,3381.76,53.42,26.66,70.77,51.03,458.73,10.72,5.15,,4,8.8,69.25,11.1,7.99,28.35,163.04,20.76,39.18,,6.92,11.76,0.84,11.64,10.12,617.56,115.09,67.76,229.05,86,58.37,9.91
1002,2012,0.02,16.25,83.73,,122.88,7.57,0.05,16.36,83.57,58.97,13.68,11.8,53.71,15.15,13.24,7.76,,4.41,11.69,8.28,,,,,9655287,40.25,59.84,2449.05,3448.19,53.75,22.47,73.33,51.12,335.72,10.61,5.57,,4,8.71,68.23,13.34,9.54,28.03,168.26,21.21,38.55,,7.01,11.92,0.92,12.09,9.96,561.06,112.8,91.78,211.29,74.04,59.9,8.09
1002,2013,0.02,16.59,83.39,,160.56,8.06,0.05,16.19,83.76,60.76,14.75,10.84,55.43,16.44,12.52,7.73,3.57,4.32,11.8,4.57,14.45,61.77,10.4,11.93,10120118,41.9,61.95,2469.77,3484.43,55.7,26.86,75.9,52.92,537.65,10.61,5.21,,4,9.81,66.45,13.41,10.39,27.56,173.31,18.25,41.45,,7.69,12.04,1.01,12.48,9.81,664.43,115.2,88.23,235.55,75.32,59.89,5.96
1002,2014,0.02,16.22,83.75,,232.21,8.68,0.05,15.91,84.04,61.55,15.18,10.89,56.02,17.27,12.63,7.56,3.59,4.23,12.77,4.61,14.37,62.06,10.81,11.69,10441004,42.94,62.61,2565.7,3653.2,56.37,31.62,75.7,53.72,146.65,10.8,4.84,3129,5,11.26,67.47,13.41,7.86,29.08,175.61,17.28,41.71,,7.8,12.03,1.29,14.9,9.69,516.45,119.11,80.54,349.17,75.22,61.03,7.49
1002,2015,0.02,14.69,85.3,106.18,162.72,9.84,0.05,15.59,84.37,61.66,16.02,11.12,55.79,18.23,13.17,7.61,3.79,4.18,12.71,4.58,14.7,61.69,11.36,11.69,10561500,42.88,62.66,2662.29,3893.13,56.36,20.61,68.94,54.66,539.5,10.69,6.89,3190,5,9.46,64.07,16.11,10.36,29.03,174.78,14.95,44.86,,6.54,12.17,1.84,18.71,9.71,710.33,122.21,99.92,280.08,78.41,68.03,4.01
1002,2016,0.02,17,82.98,140.03,160.59,10.73,0.05,15.55,84.39,61.27,16.91,11.27,55.14,19.54,13.5,7.74,3.98,4.2,12.83,4.52,15.14,60.91,11.96,11.79,10911120,44.1,64.34,2693.15,3917.95,57.93,21.39,83.21,54.55,498.98,10.84,7.89,3231,5,10.81,67.54,14.24,7.37,27.51,180.85,12.66,54.35,26.61,6.38,12.23,2.51,23.35,9.59,709.39,124.98,97.12,312.14,81.81,69.98,6.15
1002,2017,0.02,17.24,82.73,206.33,170.05,11.26,0.05,15.35,84.61,60.59,17.84,11.63,54.43,20.46,13.88,7.81,4.1,4.25,13.14,4.34,15.53,60.81,11.62,11.85,11385659,45.92,66.41,2771.49,4031.56,59.84,32.69,87.09,56.19,504.82,10.85,6.78,3304,5,8.37,69.3,13.39,8.9,27.07,187.34,14.45,46.46,31.78,7.32,12.16,2.96,26.28,9.62,755.34,127.86,115.97,292.52,84.89,87.5,6.76
1002,2018,0.01,17.23,82.75,294.34,150.81,11.54,0.05,15.44,84.51,60.16,18.6,11.78,53.82,21.32,14.19,7.99,4.17,4.25,12.9,4.42,15.51,60.44,11.96,11.94,11874505,47.97,68.52,2873.13,4167.02,61.75,22.19,88.38,58.12,652.88,11.2,7.9,3404.13,6,9.01,65.91,15.19,9.86,27.05,191.48,15.47,45.64,30.3,8.58,11.96,3.23,27.97,9.65,842.39,130.83,114.49,243.31,88.41,105.1,5.03
1002,2019,0.02,16.88,83.1,415.41,119.48,11.99,0.04,15.72,84.23,59.53,19.46,12.03,53.37,22.08,14.4,,4.4,4.18,13.04,4.63,15.67,59.76,12.21,12.22,12137524,49.18,69.13,2948.08,4219.03,62.31,30.95,85.21,59.1,515.74,11.62,9.76,3513.05,6,12.1,64.68,12.15,11.07,26.73,195.91,15.75,43.07,28.13,9.02,11.92,3.42,28.56,9.59,842.08,133.95,111.89,215.6,,116.98,5.13
1002,2020,0.02,16.73,83.25,379.17,130.82,12.15,,,83.96,58.74,20.49,12.26,52.79,23.09,14.54,,4.69,4.25,13.31,4.66,16.15,59.04,12.09,12.59,11906323,48.28,68.26,2997.91,4192.09,61.83,25.46,80.84,59.06,694.13,,,3570.56,6,14.65,60.68,13.88,10.79,26.71,,16.71,43.26,31.32,8.71,,3.66,30.08,9.62,,136.59,,214.85,,126.91,3.78
1002,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
1003,1995,,,,,,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.01,,,,,,,,,,,36.73,24.88,,10.84,,,,9.98,471.95,30.65,80.72,,,,
1003,1996,,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,34.87,22.14,,11.71,,,,10.22,428.38,31.63,89.39,,,,
1003,1997,,,,,,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.71,,,,,,,,,17.73,,34.85,21.6,,13.88,,,,10.38,436.05,32.44,98.2,,,,
1003,1998,,,,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.11,,,,,,,,,18.22,,34.45,20.75,,13.8,,,,10.37,473.47,32.02,80.1,,,34.46,
1003,1999,,,,,,9.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.49,,,,,,,,,19.03,,33.09,24.04,,12,,,,10.59,489.3,18.39,99.28,,,36.31,
1003,2000,0.15,20.89,78.96,,,9.11,,,,,,,,,,,,,,,,,,,6252758,29.3,52.78,1957.39,2675.13,47.59,28.34,50.05,47.05,214.79,,,,,,,,,18.62,,31.23,23.41,,13.4,,,,10.63,436.56,32.11,91.83,,,41.13,
1003,2001,0.15,19.26,80.59,,,9.04,,,,,,,,,,,,,,,,,,,6410043,30.02,54.22,1993.47,2713.28,48.98,29.01,47.98,49.29,217.2,,,,,,,,,19.49,,30.02,24.78,,14.42,,,,10.56,429.66,32.33,101.4,,,40.27,
1003,2002,0.13,21.4,78.47,,,8.93,,,,,,,,,,,,,,,,,,,6508340,30.51,55.67,2034.56,2745.7,50.33,24.7,54.98,49.27,237.1,,,,,,,,,20,,30.87,21.33,,13.72,,,,10.7,423.37,32.06,105.86,,,39.96,
1003,2003,0.12,23.69,76.19,,,8.78,,,,,,,,,,,,,,,,,,,6734671,31.65,58.21,2033.64,2755.24,52.55,24.87,65.19,49.64,234.02,,,,,,,,,20.88,,34.51,23.47,,11.9,,,,10.72,391.39,34.72,116.23,,,39.98,
1003,2004,0.14,20.85,79.01,,,8.47,,,,,,,,,,,,,,,,,,,6602383,31.16,57.71,2058.13,2826.25,52.28,29.28,58.07,51.01,296.54,,,,,,,,,21.74,,36.47,22.94,,11.72,13.98,,,10.71,417.76,34.83,121.92,,,40.29,
1003,2005,0.1,20.43,79.47,,,8.48,,,,,,,,,,,,,,,,,,,6723174,31.74,59.34,2064.03,2831.5,53.67,21.66,59.86,52.38,294.38,,,,,,,,,22.09,,33.9,22.85,,13.41,15.15,,,10.78,419.29,38.16,124.25,,,40.82,
1003,2006,0.13,22.38,77.49,,,8.1,,,,,,,,,,,,,,,,,,,6780293,32.1,58.68,2042.01,2948.4,53.07,27.89,67.06,50.13,329.93,,,,,,,,,22.66,186.91,35.32,23.56,,12.17,15.84,,,10.73,454.8,39.76,113.41,,,43.27,
1003,2007,0.12,23.26,76.62,,,7.99,,,,,,,,,,,,,,,,,,,7054538,33.35,59.94,2061.38,2958.73,53.9,25.7,70.25,50.43,405.08,,,,,,,,,23.14,185.12,34.29,24.53,,10.65,16.16,0.51,6.42,10.59,517.25,42.46,124.5,,,48,10.3
1003,2008,0.14,20.83,79.03,,,7.62,0.19,23.38,76.43,,,,,,,,,3.14,,,,,,,7139385,33.85,58.94,2105.79,2986.25,53,28.1,61.18,51.27,388.13,14.01,,,,5.63,72.32,11.69,7.11,23.63,187.87,30.12,27.02,,9.76,14.87,0.55,7.22,10.43,546.61,42.6,116.35,,,49.96,7.53
